Sun 1am,Sun 2am,"Classic Rock from the 60's, 70's & 80's",MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Sun 2am,Sun 11 am,"Selected Hits & Favorites From The 60's and 70's",The MCBVI Radio automated system selects music from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sun 11am,Sun 1am,Peace in the Midst of Pieces with Reverend Russell Zimmerman,Reverend Zimmerman is a graduate of the Michigan School For The Blind and lives in Bay City Michigan. Every week he brings us a message of peace and hope from the Christian prospective.
Sun 1pm,Sun 3pm,Lift Those Hands with Lynn White,Lynn is blind and lives near Dallas Texas and operated the Radio For Life for 18 years. He brings a fun and enthusiastic approach to Christianity with uplifting music and thought provoking commentary from the heart.
Sun 3pm,Sun 5pm,"Selected Hits & Favorites From The 60's and 70's",The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sun 5pm,Sun 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sun 6pm,Sun 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sun 7pm,Sun 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Sun 8pm,Sun 9pm,The Rockabilly 'N Blues Radio Hour with James Riley,"You'll hear vintage and modern rockabilly, blues, surf, roots, r&b and more along with exclusive interviews!"
Sun 9pm,Sun 10pm,Treasure Island Oldies with Michael Godin,Michael lives in western Canada. You'll hear interesting facts about music and the musicians of the sixties and seventies plus radio commercials from that era.
Mon 1am,Mon 2am,"Classic Rock from the 60's, 70's & 80's",The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Mon 2am,Mon 3pm,"Selected Hits & Favorites From The 60's and 70's",The MCBVI Radio automated system selects music from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Mon 3pm,Mon 5pm,Smooth Jazz USA with Steve Bower,"You will hear a variety of music from smooth, traditional, and classic jazz to new age music and big band. Keep tuned in for Smooth Jazz News and for interviews with artists and special features! "
Mon 5pm,Mon 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Mon 6pm,Mon 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Mon 7pm,Mon 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Mon 8pm,Mon 11pm,Selected Music from the 80's and 90's,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Mon 11pm,Tue 1am,"Classic Rock from the 60's, 70's & 80's",MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Tue 1am,Tue 2am,"Classic Rock from the 60's, 70's & 80's",MCBVI Radio automation selects the best classic and progressive rock available from the sixties, seventies and eighties from our extensive library. To make a request call (206) 666-3696. Please indicate a time when you are likely to be listening and your requests will be played for you.
Tue 2am,Tue 2pm,"Selected Hits & Favorites From The 60's and 70's",The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Tue 3pm,Tue 5pm,Standard Time with Thad Zaremba,"Thad graduated from the Michigan School For The Blind. His love for the standards, along with his professional yet homey style makes this show a must listen."
Tue 5pm,Tue 6pm,Fifties at Five,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Tue 6pm,Tue 7pm,Sixties at Six,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
Tue 7pm,Tue 8pm,Seventies at Seven,The MCBVI Radio automated system selects music at random from our extensive library. You can make requests by calling (206) 666-3696. Please include a time when you are likely to be listening and your favorites will be played for you.
